,Current Price,Your Cost Basis,Your Return,Your Position,Beta,Volatility,Market Cap,P/E Ratio,Dividend Yield
NVDA,$148.29,$151.53,+16.75%,$176.91,2.78,51.84%,$3.64T,68.022934,0.03%
AMZN,$208.91,$99.59,+7.82%,$107.38,1.50,26.92%,$2.20T,44.260597,N/A
MSFT,$423.03,$99.59,+0.67%,$100.26,1.16,19.61%,$3.15T,34.903465,0.79%
LULU,$320.90,$50.19,+15.73%,$58.08,1.11,35.51%,$39.40B,24.81825,N/A
DASH,$176.49,$49.80,+14.11%,$56.83,1.10,33.73%,$72.72B,N/A,N/A
VOO,$548.75,$52.57,+4.39%,$54.88,0.99,12.25%,N/A,29.89397,N/A
WMT,$84.99,$50.35,+6.34%,$53.54,0.24,18.84%,$683.17B,43.809277,0.99%
XLK,$236.15,$49.80,+7.17%,$53.37,1.59,21.68%,N/A,44.74403,N/A
PYPL,$86.40,$50.76,+5.02%,$53.31,1.09,34.38%,$87.16B,20.769232,N/A
PGR,$262.34,$50.08,+5.82%,$52.99,0.16,20.51%,$153.68B,19.079273,0.15%
VUG,$408.80,$50.20,+4.23%,$52.33,1.30,16.82%,N/A,49.201576,N/A
GOOG,$183.32,$49.93,+3.54%,$51.70,1.19,26.27%,$2.23T,24.345285,0.44%
MELI,$1977.39,$49.49,+3.88%,$51.41,0.91,36.70%,$100.25B,70.0209,N/A
COST,$932.38,$49.44,+3.72%,$51.28,0.83,19.65%,$413.11B,56.13365,0.50%
VTI,$296.37,$49.92,+2.72%,$51.27,1.01,12.60%,N/A,27.87286,N/A
SCHD,$28.91,$49.99,+1.85%,$50.91,0.54,11.51%,N/A,5.4838047,N/A
EME,$514.08,$49.86,+2.07%,$50.89,1.33,30.76%,$23.65B,26.108685,0.19%
XLF,$49.74,$50.32,+0.63%,$50.64,0.71,13.88%,N/A,22.572554,N/A
IJR,$124.32,$50.99,-1.50%,$50.23,1.12,20.66%,N/A,15.370941,N/A
VIG,$201.59,$49.89,+0.21%,$49.99,0.72,10.00%,N/A,28.37865,N/A
GRMN,$213.58,$49.86,-0.19%,$49.76,0.65,33.69%,$41.01B,27.173027,1.41%
EPD,$30.43,$49.98,-0.46%,$49.75,0.35,11.70%,$66.04B,11.439849,6.87%
XLV,$147.22,$49.89,-2.03%,$48.88,0.46,10.51%,N/A,24.943743,N/A
AAPL,$224.23,$49.94,-2.57%,$48.66,0.99,22.50%,$3.39T,36.879932,0.45%
CEG,$228.70,$49.77,-14.07%,$42.77,1.57,51.65%,$74.21B,26.167048,0.59%
