,symbol,value,weight,volatility,beta,max_drawdown,daily_var_95,risk_score
NVDA,NVDA,176.91,11.653996653535527,51.839838805307025,2.781142583348193,27.04676096679978,-8.322105566445236,80.08035449797659
CEG,CEG,42.77,2.8174859356266717,51.65246408735978,1.5738118975308792,27.645000831168463,-1.6072959156506506,53.346223123747215
LULU,LULU,58.08,3.8260365476080684,35.51031965171536,1.1113334535539214,54.350761799410776,-1.8023938050942816,44.89772829075761
AMZN,AMZN,107.38,7.073688093701006,26.922341039475985,1.49879747389412,19.48999786376953,-2.5569461616720623,44.07275779058941
XLK,XLK,53.37,3.5157639556791085,21.6805304497964,1.5940690917215172,16.97240027071131,-1.3043254260045198,42.83475021021526
EME,EME,50.89,3.3523932491008024,30.761192159188266,1.3343271031845192,14.60882483022614,-1.3095076892803124,39.84238265222233
DASH,DASH,56.83,3.7436924414698094,33.729956521478975,1.0987067170515734,28.854202943955805,-1.5367488140988843,38.98706961870727
GOOG,GOOG,51.7,3.405752229878394,26.26843705200998,1.1878804596048873,22.27922655869151,-1.2146639312450773,37.115711288402565
PYPL,PYPL,53.31,3.5118114385844725,34.38089699095603,1.094866460390241,15.753823964521965,-1.6540935081619488,36.41590652957136
MELI,MELI,51.41,3.386648397254318,36.70408749346555,0.9092811943490924,25.3880643195425,-1.4729107989342416,35.29045751810631
VUG,VUG,52.33,3.4472536593720764,16.819727825654915,1.299497974759914,12.976484580734729,-0.8756249070982094,34.66535085685333
MSFT,MSFT,100.26,6.6046560651374815,19.61116927093009,1.1624137763385705,15.486782863320295,-2.1166782267179154,34.21037970025574
IJR,IJR,50.23,3.308915561059801,20.655824313519894,1.1199045456407861,9.016395247276913,-0.8681554318597148,31.39079192464501
AAPL,AAPL,48.66,3.205491363750148,22.50028206588204,0.9890044797458349,16.606664281741498,-1.0580276047320207,30.813154480154658
VTI,VTI,51.27,3.3774258573668337,12.602934551350447,1.0141379581302277,8.570406039163926,-0.6769998180408108,26.790948493052525
GRMN,GRMN,49.76,3.2779541771518166,33.68659345257837,0.653372706046111,11.48135983894739,-0.8994333790813185,26.453090377630755
VOO,VOO,54.88,3.6152356358941256,12.250423883896417,0.9948930687653056,8.446355533882596,-0.7223643827075602,26.3468303380198
COST,COST,51.28,3.3780846102159394,19.65326560033862,0.8280643347878431,10.273811888006298,-0.854555596322626,25.525454136524488
XLF,XLF,50.64,3.3359244278731506,13.88296333818306,0.7136055138095099,6.864309740057056,-0.6473713696113562,20.810638554018475
VIG,VIG,49.99,3.293105492681256,9.998988634056344,0.7188931247159543,5.081869395179903,-0.5092987440752115,19.381864611376347
SCHD,SCHD,50.91,3.3537107547990144,11.513128213442604,0.537332061839808,5.977921725276344,-0.5088175611676984,16.402277272323914
XLV,XLV,48.88,3.219983926430482,10.514518399322263,0.45588315213921293,6.310469816216467,-0.5187016987176727,14.500107703753375
WMT,WMT,53.54,3.526962754113912,18.837714457730208,0.23798956614755612,10.813818716516092,-0.714974514552835,13.631958229807578
EPD,EPD,49.75,3.27729542430271,11.698537687568047,0.3526356727873766,5.487025450298506,-0.5070511901970493,12.642868479368458
PGR,PGR,52.99,3.4907313474130777,20.510739847732758,0.15934930372714054,7.097435392127791,-0.8741199263981865,11.806914511512117
